dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
5,idle,-9.0975,-0.1436,4.0295,-0.6865,-10.9834,-18.5346
5,idle,-9.0544,-0.0957,4.0104,0,-8.9241,-18.5346
5,idle,-9.1023,-0.1005,3.996,0,-9.6105,-12.3564
5,idle,-9.1167,-0.2584,4.0104,-3.4323,-10.9834,-9.6105
5,idle,-9.0592,-0.2154,4.0199,-10.9834,-10.297,-10.297
5,idle,-9.0736,-0.201,4.0487,-13.7293,-10.297,-8.2376
5,idle,-9.0305,-0.1962,4.0295,-19.9075,-6.8647,-4.8053
5,idle,-9.1167,-0.2536,4.0247,-27.4586,-8.9241,2.0594
5,idle,-9.1167,-0.1675,3.9482,-22.6534,-4.8053,8.2376
5,idle,-9.1262,-0.2728,4.0917,-8.9241,-6.8647,1.3729
5,idle,-9.0784,-0.1675,3.9864,-10.297,0,0.6865
5,idle,-9.0975,-0.3206,3.9625,-22.6534,5.4917,-4.8053
5,idle,-9.0832,-0.3302,4.0295,-15.7887,3.4323,-4.1188
5,idle,-9.0544,-0.2393,4.0247,-11.6699,-0.6865,-12.3564
5,idle,-9.1119,-0.1771,4.0056,2.7459,-2.7459,-19.9075
5,idle,-9.1502,-0.201,3.9625,10.297,-2.0594,-21.9669
5,idle,-9.1789,-0.2536,3.9529,15.7887,-5.4917,-25.3992
5,idle,-9.1597,-0.3876,3.9625,10.9834,-8.9241,-26.7722
5,idle,-9.1406,-0.2632,3.9817,9.6105,-13.0428,-28.8316
5,idle,-9.1406,-0.201,3.9817,18.5346,-11.6699,-30.8909
5,idle,-9.1262,-0.2824,3.9242,23.3398,-8.9241,-30.2045
5,idle,-9.0879,-0.3637,3.9099,27.4586,-5.4917,-28.1451
5,idle,-9.0832,-0.3254,3.9529,32.9503,-3.4323,-35.0097
5,idle,-9.0162,-0.2536,4.0056,32.9503,1.3729,-37.7556
5,idle,-9.064,-0.2393,3.929,30.2045,4.1188,-37.7556
5,idle,-9.0736,-0.3015,3.8955,33.6368,10.297,-35.6962
5,idle,-9.064,-0.3254,3.8429,39.815,16.4752,-35.0097
5,idle,-9.0975,-0.3589,3.8094,49.4255,23.3398,-45.9932
5,idle,-9.1693,-0.3829,3.8046,44.6203,30.8909,-54.9172
5,idle,-9.2172,-0.3924,3.8189,37.0691,26.0857,-52.1714
5,idle,-9.265,-0.3063,3.8429,36.3827,17.8481,-47.3661
5,idle,-9.2459,-0.2249,3.7615,34.3233,14.4158,-45.9932
5,idle,-9.2315,-0.3254,3.8285,49.4255,0,-48.0526
5,idle,-9.1119,-0.2393,3.7184,59.036,10.297,-39.815
5,idle,-9.1597,-0.3015,3.7711,72.7653,16.4752,-38.4421
5,idle,-9.1023,-0.3637,3.7567,61.0954,25.3992,-37.7556
5,idle,-9.198,-0.335,3.6658,48.739,29.518,-48.739
5,idle,-9.2076,-0.3398,3.6945,37.7556,30.8909,-52.1714
5,idle,-9.198,-0.3254,3.6945,32.9503,30.8909,-55.6037
5,idle,-9.2602,-0.3254,3.6945,30.8909,30.2045,-59.036
5,idle,-9.2554,-0.3541,3.6562,32.9503,25.3992,-58.3496
5,idle,-9.2554,-0.3494,3.6371,37.7556,22.6534,-58.3496
5,idle,-9.2602,-0.3733,3.6132,40.5015,18.5346,-60.409
5,idle,-9.2363,-0.4307,3.6323,40.5015,16.4752,-58.3496
5,idle,-9.2698,-0.4499,3.594,38.4421,12.3564,-58.3496
5,idle,-9.3033,-0.4211,3.5222,39.1285,10.9834,-56.9766
5,idle,-9.3416,-0.4211,3.5797,34.3233,8.9241,-59.7225
5,idle,-9.2937,-0.4307,3.5222,26.7722,5.4917,-55.6037
5,idle,-9.3081,-0.4499,3.5222,24.0263,8.9241,-51.4849
6,walk,-9.9111,-2.6417,-2.8427,-72.0789,-126.9961,-10.9834
6,walk,-9.5713,-2.1009,-2.881,-82.3759,-150.336,-26.0857
6,walk,-9.3416,-2.0291,-2.9097,-61.7819,-152.3953,-55.6037
6,walk,-9.2219,-2.345,-2.9145,-57.6631,-126.9961,-77.5706
6,walk,-8.9348,-2.6034,-3.1872,-74.1383,-108.4616,-89.927
6,walk,-8.8917,-2.6177,-3.4265,-72.7653,-94.7322,-86.4947
6,walk,-8.9587,-2.723,-3.3882,-52.1714,-77.5706,-102.2834
6,walk,-8.8917,-2.857,-3.2877,-44.6203,-65.2142,-89.2405
6,walk,-8.7338,-2.9575,-3.192,-38.4421,-63.8413,-67.9601
6,walk,-8.1835,-3.0389,-3.4265,-35.6962,-69.333,-38.4421
6,walk,-7.8676,-3.0915,-3.5509,-2.7459,-67.2736,0.6865
6,walk,-7.7097,-3.082,-3.6514,33.6368,-63.1548,39.1285
6,walk,-8.0351,-3.3691,-3.6802,46.6797,-48.0526,66.5872
6,walk,-8.3701,-3.8524,-3.3835,25.3992,-54.2308,62.4684
6,walk,-8.7099,-3.8907,-3.2207,-12.3564,-58.3496,70.0195
